market,status,ldate,litho,rprice,ncore,nthread,bfreq,tdp,memband,temp
Desktop,End of Interactive Support,,130,,1,,900 MHz,23.2 W,"",75°C
Server,End of Interactive Support,,130,,1,,1.40 GHz,32.2 W,"",69°C
Desktop,End of Interactive Support,,90,,1,,3.80 GHz,65 W,"",""
Desktop,End of Interactive Support,2002,130,,1,,2.50 GHz,61 W,"",72°C
Server,End of Interactive Support,,130,,1,,1.00 GHz,12.1 W,"",100°C
Mobile,End of Interactive Support,2004.25,90,,1,,1.80 GHz,21 W,"",100°C
Desktop,End of Interactive Support,2000,180,,1,,850 MHz,22.5 W,"",80°C
Desktop,End of Interactive Support,2004.25,90,,1,,3.40 GHz,115 W,"",72.8°C
Desktop,End of Interactive Support,2006,65,,2,,2.80 GHz,95 W,"",63.4°C
Desktop,End of Interactive Support,2002,130,,1,,2.40 GHz,59.8 W,"",71°C
Desktop,End of Interactive Support,,180,,1,,933 MHz,27.3 W,"",77°C
Mobile,End of Interactive Support,2004.25,90,,1,,1.80 GHz,7.5 W,"",100°C
Desktop,End of Interactive Support,,180,,1,,800 MHz,20.8 W,"",80°C
Desktop,End of Interactive Support,2004,90,,1,,3.40 GHz,103 W,"",73.5°C
Desktop,End of Interactive Support,2004.5,90,,1,,3.20 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,2002,130,,1,,2.20 GHz,57.1 W,"",70°C
Mobile,End of Life,2013.5,22,,2,2,2.10 GHz,35 W,25.6 GB/s,105C
Mobile,Launched,2016,22,86,4,4,2.41 GHz,10 W,21.3 GB/s,105°C
Server,End of Life,2012.25,32,,2,2,1.20 GHz,40 W,25 GB/s,""
Embedded,Launched,2014,22,156,2,2,1.40 GHz,40 W,38.4 GB/s,80°C
Mobile,End of Interactive Support,,130,,1,,1.40 GHz,20.8 W,"",100°C
Desktop,End of Life,2011.25,32,64,2,2,2.60 GHz,65 W,17 GB/s,69.1°C
Mobile,End of Interactive Support,,90,,1,,1.73 GHz,27 W,"",100°C
Desktop,End of Interactive Support,2000,180,,1,,866 MHz,26.1 W,"",80°C
Desktop,End of Interactive Support,,180,,1,,750 MHz,19.5 W,"",80°C
Desktop,End of Interactive Support,,130,,1,,3.40 GHz,89 W,"",68°C
Desktop,End of Interactive Support,2005.75,90,,1,,3.20 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,2002,130,,1,,2.00 GHz,54.3 W,"",69°C
Mobile,End of Interactive Support,,180,,1,,600 MHz,9.7 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.50 GHz,25.8 W,"","100°C,100°C"
Desktop,End of Life,2011.25,32,77,2,2,2.20 GHz,35 W,17 GB/s,65.0°C
Mobile,End of Interactive Support,,130,,1,,900 MHz,7 W,"",100°C
Desktop,End of Interactive Support,,180,,1,,800 MHz,20.8 W,"",80°C
Desktop,End of Interactive Support,2000,180,,1,,700 MHz,18.3 W,"",80°C
Desktop,End of Interactive Support,2004,90,,1,,3.40 GHz,103 W,"",73.5°C
Desktop,End of Interactive Support,2005.75,90,,1,,3.80 GHz,115 W,"",70.8°C
Desktop,End of Interactive Support,2004.25,90,,1,,3.20 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,,180,,1,,2.00 GHz,71.8 W,"",74°C
Mobile,End of Interactive Support,,130,,1,,1.60 GHz,26.9 W,"",100°C
Embedded,Launched,2012.25,,168,2,4,1.50 GHz,15 W,21.3 GB/s,100°C
Desktop,End of Life,2011.25,32,75,2,2,2.80 GHz,65 W,21 GB/s,69.1°C
Desktop,End of Life,2011.25,32,,2,2,2.60 GHz,65 W,17 GB/s,69.1°C
Mobile,End of Interactive Support,,130,,1,,1.00 GHz,7 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,1.70 GHz,7.5 W,"",100°C
Desktop,End of Interactive Support,2000,180,,1,,733 MHz,22.8 W,"",80°C
Desktop,End of Interactive Support,,180,,1,,650 MHz,17 W,"",82°C
Desktop,End of Interactive Support,2004,90,,1,,3.20 GHz,103 W,"",73.5°C
Desktop,End of Interactive Support,2005.25,90,,1,,3.80 GHz,115 W,"",70.8°C
Desktop,End of Interactive Support,2004.25,90,,1,,3.00 GHz,84 W,"",67.7°C
Mobile,End of Interactive Support,2002,130,,1,,1.70 GHz,30 W,"",100°C
Embedded,Launched,2013.75,,,2,4,2.00 GHz,15 W,"",""
Desktop,Launched,2011.25,32,75,2,2,2.90 GHz,65 W,21 GB/s,69.1°C
Desktop,End of Life,2011.5,32,64,2,2,2.70 GHz,65 W,17 GB/s,69.1°C
Desktop,End of Interactive Support,,180,,1,,667 MHz,17.5 W,"",82°C
Desktop,End of Interactive Support,,250,,1,,600 MHz,34.5 W,"",85°C
Desktop,End of Interactive Support,,130,,1,,3.20 GHz,82 W,"",70°C
Desktop,End of Interactive Support,2004.75,90,,1,,3.00 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,,90,,1,,2.80 GHz,103 W,"",""
Desktop,End of Interactive Support,,180,,1,,1.90 GHz,69.2 W,"",73°C
Mobile,End of Interactive Support,,180,,1,,900 MHz,30.7 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,933 MHz,20.1 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.80 GHz,30 W,"",100°C
Desktop,End of Life,2011.5,32,75,2,2,3.00 GHz,65 W,21 GB/s,69.1°C
Desktop,End of Life,2011.5,32,72,2,2,2.30 GHz,35 W,17 GB/s,65.0°C
Desktop,End of Interactive Support,2010.5,45,93,2,,3.33 GHz,65 W,"",74.1°C
Mobile,End of Interactive Support,,130,,1,,1.20 GHz,12 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,1.60 GHz,27 W,"",100°C
Desktop,End of Interactive Support,,250,,1,,600 MHz,34.5 W,"",85°C
Desktop,End of Interactive Support,2000,180,,1,,600 MHz,19.5 W,"",82°C
Desktop,End of Interactive Support,2006.25,65,316,2,,3.60 GHz,130 W,"","C1=68.6°C, D0=63.4°C "
Desktop,End of Interactive Support,2004,90,,1,,3.20 GHz,103 W,"",73.5°C
Desktop,End of Interactive Support,2005.75,90,,1,,3.60 GHz,115 W,"",70.8°C
Desktop,End of Interactive Support,2004.25,90,,1,,3.00 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,2004.75,90,,1,,3.06 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,2002,130,,1,,2.80 GHz,68.4 W,"",70°C
Desktop,End of Interactive Support,,130,,1,,1.80 GHz,68.1 W,"",77°C
Mobile,End of Interactive Support,,180,,1,,850 MHz,27.5 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,866 MHz,19.5 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.90 GHz,32 W,"",100°C
Desktop,End of Life,2012.25,32,,2,2,2.60 GHz,35 W,21 GB/s,65.0°C
Mobile,Launched,2011.25,32,,2,2,2.00 GHz,35 W,21.3 GB/s,85 C
Desktop,End of Life,2011.5,32,,2,2,2.70 GHz,65 W,17 GB/s,69.1°C
Mobile,End of Interactive Support,,,,1,,400 MHz,13.1 W,"",""
Mobile,End of Interactive Support,2003.25,130,,1,,1.10 GHz,12 W,"",100°C
Desktop,End of Interactive Support,,180,,1,,600 MHz,15.8 W,"",82°C
Desktop,End of Interactive Support,,250,,1,,550 MHz,30.8 W,"",80°C
Desktop,End of Interactive Support,2006,65,224,2,,3.40 GHz,130 W,"","C1+D0=63.4°C, B1=68.6°C"
Desktop,End of Interactive Support,2004.25,90,,1,,3.00 GHz,89 W,"",73.5°C
Desktop,End of Interactive Support,2006,65,,1,,3.60 GHz,86 W,"","B1+C1=69°C, D0=64.4°C "
Desktop,End of Interactive Support,2006.25,90,,1,,3.06 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,,90,,1,,3.06 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,,90,,1,,2.80 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,,180,,1,,1.80 GHz,66.7 W,"",78°C
Mobile,End of Interactive Support,,180,,1,,800 MHz,25.9 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,2.00 GHz,32 W,"",100°C
Mobile,End of Life,2011.25,32,,2,2,2.10 GHz,35 W,21.3 GB/s,85C
Desktop,End of Life,2012.25,32,82,2,2,3.10 GHz,65 W,21 GB/s,69.1°C
Desktop,End of Life,2012.25,32,64,2,2,2.80 GHz,65 W,17 GB/s,69.1°C
Mobile,End of Interactive Support,,,,1,,366 MHz,13.1 W,"",""
Desktop,End of Interactive Support,,,,1,,300 MHz,"","",""
Desktop,End of Interactive Support,2010.25,45,,2,,3.20 GHz,65 W,"",74.1°C
Desktop,End of Interactive Support,2010.75,45,72,2,,3.20 GHz,65 W,"",74.1°C
Mobile,End of Interactive Support,,65,,2,,1.86 GHz,35 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.30 GHz,22 W,"",100°C
Desktop,End of Interactive Support,,180,,1,,550 MHz,14.5 W,"",82°C
Desktop,End of Interactive Support,2006.5,65,163,2,,3.40 GHz,95 W,"",63.4°C
Desktop,End of Interactive Support,,250,,1,,533 MHz,29.7 W,"",90°C
Desktop,End of Interactive Support,,130,,1,,3.00 GHz,81.9 W,"",""
Desktop,End of Interactive Support,2005.5,90,,1,,2.80 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,2005.75,90,,1,,2.93 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,,130,,1,,2.66 GHz,66.1 W,"",74°C
Desktop,End of Interactive Support,2005,90,,1,,3.60 GHz,115 W,"",70.8°C
Desktop,End of Interactive Support,,130,,1,,1.70 GHz,"","",""
Mobile,End of Interactive Support,,180,,1,,750 MHz,24.6 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,650 MHz,7 W,"",100°C
Mobile,End of Interactive Support,2002,130,,1,,2.20 GHz,35 W,"",100°C
Desktop,End of Life,2012.25,32,72,2,2,2.40 GHz,35 W,17 GB/s,65.0°C
Desktop,End of Interactive Support,,,,1,,266 MHz,"","",""
Mobile,End of Interactive Support,,,,1,,333 MHz,11.8 W,"",""
Desktop,End of Interactive Support,2010.5,45,64,2,,3.00 GHz,65 W,"",74.1°C
Mobile,End of Interactive Support,2009.75,45,,2,,2.20 GHz,35 W,"",105°C
Mobile,End of Interactive Support,2008,65,,2,,1.73 GHz,35 W,"",100°C
Desktop,End of Interactive Support,2008,65,,2,,2.40 GHz,65 W,"",73.3°C
Mobile,End of Interactive Support,2004.25,90,,1,,1.60 GHz,7.5 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.40 GHz,22 W,"",100°C
Desktop,End of Interactive Support,,180,,1,,533 MHz,14 W,"",82°C
Desktop,End of Interactive Support,,250,,1,,500 MHz,28 W,"",90°C
Desktop,End of Interactive Support,2006,65,183,2,,3.20 GHz,130 W,"","B1=68.6°C, C1=63.4°C"
Desktop,End of Interactive Support,2004,90,,1,,3.00 GHz,89 W,"",69.4°C
Desktop,End of Interactive Support,2006.25,65,81,1,,3.40 GHz,86 W,"",69.2°C
Desktop,End of Interactive Support,2004.75,90,,1,,2.80 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,2005.5,90,,1,,2.93 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,,90,,1,,2.66 GHz,89 W,"",73.1°C
Desktop,End of Interactive Support,,180,,1,,1.70 GHz,64 W,"",76°C
Mobile,End of Interactive Support,,180,,1,,700 MHz,23 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.33 GHz,"","",100°C
Mobile,End of Interactive Support,,130,,1,,3.20 GHz,76 W,"",72°C
Mobile,End of Interactive Support,,130,,1,,2.30 GHz,35 W,"",100°C
Mobile,Launched,2011.75,32,,2,2,2.20 GHz,35 W,21.3 GB/s,85C
Mobile,End of Interactive Support,,,,1,,300 MHz,11.1 W,"",""
Mobile,Launched,2011.25,32,,2,2,1.20 GHz,17 W,21.3 GB/s,100
Desktop,End of Interactive Support,,,,1,,233 MHz,17 W,"",85°C
Mobile,End of Interactive Support,2010,45,,2,,2.30 GHz,35 W,"",""
Desktop,End of Interactive Support,2010,45,75,2,,3.06 GHz,65 W,"",74.1°C
Desktop,End of Interactive Support,2010.25,45,72,2,,2.80 GHz,65 W,"",74.1°C
Mobile,End of Interactive Support,2007.75,65,,2,,1.60 GHz,35 W,"",100°C
Desktop,End of Interactive Support,,90,,1,,2.80 GHz,89 W,"",69.1°C
Desktop,End of Interactive Support,2007,65,84,2,,3.20 GHz,95 W,"",63.4°C
Desktop,End of Interactive Support,,180,,1,,500 MHz,13.2 W,"",85°C
Desktop,End of Interactive Support,,130,,1,,1.40 GHz,31.2 W,"",69°C
Desktop,End of Interactive Support,2004,90,,1,,2.80 GHz,89 W,"",69.4°C
Desktop,End of Interactive Support,2005,90,,1,,3.40 GHz,84 W,"",66.6°C
Desktop,End of Interactive Support,,90,,1,,2.80 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,,130,,1,,2.53 GHz,61.5 W,"",72°C
Desktop,End of Interactive Support,,130,,1,,1.60 GHz,38 W,"",66°C
Mobile,End of Interactive Support,,180,,1,,650 MHz,21.5 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.26 GHz,22 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,3.06 GHz,70 W,"",74°C
Mobile,End of Interactive Support,,90,,1,,3.46 GHz,88 W,"",75°C
Mobile,End of Interactive Support,,130,,1,,2.40 GHz,35 W,"",100°C
Desktop,End of Life,2012.5,32,64,2,2,2.90 GHz,65 W,17 GB/s,69.1°C
Mobile,Launched,2012,32,,2,2,2.30 GHz,35 W,21.3 GB/s,85C
Mobile,Launched,2011.75,32,,2,2,1.30 GHz,17 W,21.3 GB/s,100 C
Mobile,End of Interactive Support,2011,32,,2,2,2.27 GHz,35 W,17.1 GB/s,90°C
Mobile,End of Interactive Support,,,,1,,300 MHz,11.6 W,"",""
Desktop,End of Interactive Support,,,,1,,200 MHz,15.7 W,"",72°C
Desktop,End of Interactive Support,,,,1,,200 MHz,37.9 W,"",85°C
Desktop,End of Interactive Support,,,,1,,333 MHz,20.6 W,"",65°C
Desktop,End of Interactive Support,2011,32,,2,2,2.93 GHz,73 W,17 GB/s,72.6°C
Desktop,End of Interactive Support,2009.5,45,,2,,2.93 GHz,65 W,"",74.1°C
Desktop,End of Interactive Support,2007.75,65,,2,,2.20 GHz,65 W,"",73.3°C
Mobile,End of Interactive Support,2007.75,65,,2,,1.46 GHz,35 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,1.50 GHz,24.5 W,"",100°C
Desktop,End of Interactive Support,,250,,1,,450 MHz,25.3 W,"",90°C
Desktop,End of Interactive Support,,90,,1,,2.80 GHz,89 W,"",69.1°C
Desktop,End of Interactive Support,,130,,1,,1.33 GHz,29.9 W,"",69°C
Desktop,End of Interactive Support,2006,65,178,2,,3.00 GHz,95 W,"",63.4°C
Desktop,End of Interactive Support,2005.25,90,423,2,,3.20 GHz,130 W,"",69.8°C
Desktop,End of Interactive Support,,130,,1,,2.80 GHz,69.7 W,"",75°C
Desktop,End of Interactive Support,2006,65,,1,,3.20 GHz,86 W,"","B1,C1=69.2°C;     D0-64.4°C"
Desktop,End of Interactive Support,2005.75,90,,1,,2.80 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,,180,,1,,1.60 GHz,61 W,"",75°C
Mobile,End of Interactive Support,,180,,1,,600 MHz,34.5 W,"",75°C
Mobile,End of Interactive Support,,130,,1,,1.20 GHz,22 W,"",100°C
Mobile,End of Interactive Support,,130,,1,,2.80 GHz,68.4 W,"",75°C
Mobile,End of Interactive Support,,90,,1,,3.33 GHz,88 W,"",75°C
Mobile,End of Interactive Support,,130,,1,,2.50 GHz,35 W,"",100°C
Mobile,Launched,2012.25,32,,2,2,2.40 GHz,35 W,21.3 GB/s,85C
Desktop,End of Life,2012.5,32,64,2,2,2.50 GHz,35 W,17 GB/s,65.0°C
Mobile,Launched,2012,32,,2,2,1.40 GHz,17 W,21.3 GB/s,100C
Mobile,End of Interactive Support,2010.5,32,,2,2,2.13 GHz,35 W,17.1 GB/s,90°C
Mobile,End of Interactive Support,,,,1,,800 MHz,9.8 W,"",100°C
Mobile,End of Interactive Support,,,,1,,266 MHz,10.3 W,"",72°C
Desktop,End of Interactive Support,,,,1,,166 MHz,13.1 W,"",65°C
Desktop,End of Interactive Support,,,,1,,90 MHz,"","",""
Desktop,End of Interactive Support,,,,1,,200 MHz,35 W,"",85°C
Desktop,End of Interactive Support,,,,1,,450 MHz,27.1 W,"",90°C
Desktop,End of Interactive Support,,,,1,,300 MHz,21.5 W,"",75°C
Desktop,End of Interactive Support,2010,32,96,2,2,2.80 GHz,73 W,17 GB/s,72.6°C
Desktop,End of Interactive Support,2008,45,75,2,,2.93 GHz,65 W,"",74.1°C
Desktop,End of Interactive Support,2009,45,67,2,,2.70 GHz,65 W,"",74.1°C
Mobile,End of Interactive Support,,45,,2,,2.10 GHz,35 W,"",105°C
Desktop,End of Interactive Support,2007.5,65,,2,,2.00 GHz,65 W,"",73.3°C
Desktop,End of Interactive Support,,90,,1,,2.80 GHz,84 W,"",67.7°C
Mobile,End of Interactive Support,2007.25,65,,2,,1.86 GHz,31 W,"",100°C
Mobile,End of Interactive Support,,90,,1,,1.50 GHz,7.5 W,"",100°C
Mobile,End of Interactive Support,2003.25,130,,1,,1.60 GHz,24.5 W,"",100°C
Desktop,End of Interactive Support,,130,,1,,1.20 GHz,29.9 W,"",69°C
Desktop,End of Interactive Support,2006.5,65,74,2,,3.00 GHz,95 W,"",63.4°C
Desktop,End of Interactive Support,2005.25,90,316,2,,3.00 GHz,130 W,"",69.8°C
Desktop,End of Interactive Support,2005,90,,1,,3.20 GHz,84 W,"",66.6°C
Desktop,End of Interactive Support,2005.25,90,,1,,2.66 GHz,84 W,"",67.7°C
Desktop,End of Interactive Support,2002,130,,1,,2.40 GHz,59.8 W,"",71°C
