market,status,ldate,litho,rprice,ncore,bfreq,tdp,temp
Desktop,End of Interactive Support,2004,90,,1,3.4,103,73.5
Desktop,End of Interactive Support,2005.75,90,,1,3.8,115,70.8
Desktop,End of Interactive Support,2004.25,90,,1,3.2,84,67.7
Desktop,End of Interactive Support,,180,,1,2,71.8,74
Mobile,End of Interactive Support,,130,,1,1.6,26.9,100
Embedded,Launched,2012.25,,168,2,1.5,15,100
Desktop,End of Life,2011.25,32,75,2,2.8,65,69.1
Desktop,End of Life,2011.25,32,,2,2.6,65,69.1
Mobile,End of Interactive Support,,130,,1,1,7,100
Mobile,End of Interactive Support,,90,,1,1.7,7.5,100
Desktop,End of Interactive Support,2000,180,,1,0.733,22.8,80
Desktop,End of Interactive Support,,180,,1,0.65,17,82
Desktop,End of Interactive Support,2004,90,,1,3.2,103,73.5
Desktop,End of Interactive Support,2005.25,90,,1,3.8,115,70.8
Desktop,End of Interactive Support,2004.25,90,,1,3,84,67.7
Mobile,End of Interactive Support,2002,130,,1,1.7,30,100
Embedded,Launched,2013.75,,,2,2,15,
Desktop,Launched,2011.25,32,75,2,2.9,65,69.1
Desktop,End of Life,2011.5,32,64,2,2.7,65,69.1
Desktop,End of Interactive Support,,180,,1,0.667,17.5,82
Desktop,End of Interactive Support,,250,,1,0.6,34.5,85
Desktop,End of Interactive Support,,130,,1,3.2,82,70
Desktop,End of Interactive Support,2004.75,90,,1,3,84,67.7
Desktop,End of Interactive Support,,90,,1,2.8,103,
Desktop,End of Interactive Support,,180,,1,1.9,69.2,73
Mobile,End of Interactive Support,,180,,1,0.9,30.7,100
Mobile,End of Interactive Support,,130,,1,0.933,20.1,100
Mobile,End of Interactive Support,,130,,1,1.8,30,100
Desktop,End of Life,2011.5,32,75,2,3,65,69.1
Desktop,End of Life,2011.5,32,72,2,2.3,35,65
Desktop,End of Interactive Support,2010.5,45,93,2,3.33,65,74.1
Mobile,End of Interactive Support,,130,,1,1.2,12,100
Mobile,End of Interactive Support,,90,,1,1.6,27,100
Desktop,End of Interactive Support,,250,,1,0.6,34.5,85
Desktop,End of Interactive Support,2000,180,,1,0.6,19.5,82
Desktop,End of Interactive Support,2006.25,65,316,2,3.6,130,68.6
Desktop,End of Interactive Support,2004,90,,1,3.2,103,73.5
Desktop,End of Interactive Support,2005.75,90,,1,3.6,115,70.8
Desktop,End of Interactive Support,2004.25,90,,1,3,84,67.7
Desktop,End of Interactive Support,2004.75,90,,1,3.06,84,67.7
Desktop,End of Interactive Support,2002,130,,1,2.8,68.4,70
Desktop,End of Interactive Support,,130,,1,1.8,68.1,77
Mobile,End of Interactive Support,,180,,1,0.85,27.5,100
Mobile,End of Interactive Support,,130,,1,0.866,19.5,100
Mobile,End of Interactive Support,,130,,1,1.9,32,100
Desktop,End of Life,2012.25,32,,2,2.6,35,65
Mobile,Launched,2011.25,32,,2,2,35,85
